trip_id,delay_minutes
67953,15
93659,5
57217,20
39651,15
93154,90
52402,15
5473,0
60262,0
26417,20
82561,0
24858,5
16404,60
68680,0
47203,15
88618,5
70222,0
50063,0
67128,15
21485,20
63772,0
48659,5
82421,0
47210,15
16325,0
31837,10
43522,15
96335,5
61848,5
39660,5
78527,0
3431,0
36358,15
68121,15
95574,15
6861,45
39237,0
2499,20
94653,5
86756,0
2689,5
93118,45
75056,0
14594,10
9515,0
99298,0
71665,20
67032,15
58612,5
78685,0
55339,0
3631,0
68491,10
50896,0
16638,30
77108,30
7842,0
63436,30
32800,0
66702,0
12718,10
66377,0
83184,0
82182,0
74549,0
78880,20
22371,30
26620,0
3728,5
45346,0
6297,0
24793,10
80989,10
22013,0
31507,30
18672,0
13430,60
28784,30
89357,20
98187,15
75199,0
70425,0
74365,0
553,45
66963,10
78738,15
78893,10
79076,0
87433,0
63089,60
58643,45
84911,0
98643,0
99600,60
97071,15
43334,10
1508,45
54160,5
56792,0
43958,0
5192,45
70245,5
22206,5
37383,0
82139,10
40319,60
73373,45
24639,5
16510,15
24826,15
81947,20
42531,0
26506,0
63695,15
68132,15
5373,5
87857,5
92262,20
75594,15
86748,0
51804,30
94523,15
13123,0
89364,0
62086,20
31925,0
40566,0
89725,15
50902,30
34630,5
26826,0
30037,0
88930,10
76626,10
59899,20
41866,5
12761,20
65037,0
48391,10
56143,20
44110,0
72332,60
72688,0
38440,5
9099,0
71374,0
52728,0
92591,15
49628,20
77704,5
22405,20
36669,5
79117,0
28002,15
10819,0
34870,0
51725,10
81342,5
28820,0
30915,10
36586,0
59051,15
77205,0
75339,0
59388,10
33853,0
93665,45
70511,5
70103,60
42996,30
95791,0
57717,10
77064,0
33,15
222,0
29107,15
47901,20
85310,0
29428,15
87512,0
30242,5
30499,30
51293,0
40656,0
94791,10
9264,0
31796,0
47318,0
44744,15
76722,5
60875,0
20697,30
19443,15
74771,15
56767,20
94997,0
95445,0
10691,5
72203,0
11766,5
40307,45
46891,0
77072,0
51958,0
56889,5
22298,10
56438,5
58185,30
30433,15
7917,0
29309,20
17183,0
19385,15
53830,0
11903,5
7173,0
50135,0
48211,0
20453,15
83416,5
45666,0
38493,60
36782,5
58826,30
21090,20
33071,0
39845,5
53531,45
12429,0
1278,10
58727,15
74064,0
17224,15
83065,0
82205,15
38979,30
13959,5
44448,10
11524,0
9832,5
48082,0
92754,0
77066,5
65473,45
28881,20
30593,0
32723,5
58180,20
96979,5
73473,15
70996,0
68750,20
97356,0
71395,5
79686,0
94221,90
8006,0
45289,5
45000,0
97415,90
39697,0
99417,0
83750,0
87596,15
16969,30
6432,5
43216,15
96967,10
98917,0
70329,10
79284,0
56557,10
97043,10
85896,5
82737,30
97462,5
36443,0
80783,5
67409,30
63948,20
25149,5
19790,20
20201,5
63694,0
65134,10
86301,5
39150,15
28102,0
30081,20
68451,0
82730,60
37802,5
26541,15
82380,10
81969,0
31267,0
48727,60
49093,0
49839,0
53579,5
3050,0
16624,0
73509,5
62252,5
30855,0
9,15
3117,0
36787,45
72031,15
25179,0
78443,10
99961,60
44788,5
27426,120
46649,5
70694,10
7515,10
56903,0
27898,5
71013,0
10640,0
26630,5
56915,15
90669,0
36649,0
67485,0
7452,45
71548,10
37305,90
53054,0
47159,0
61140,5
53715,20
38239,20
69950,0
36528,0
47562,0
81539,0
85997,30
81635,20
99782,45
80328,0
24233,10
17633,30
83266,0
34481,0
22137,45
45098,0
14696,30
2948,0
1225,5
8450,0
72810,5
31468,5
39194,30
80050,20
24346,0
60925,5
53916,20
2501,30
95179,5
59004,5
62602,0
62315,5
15485,0
81829,60
36863,10
70961,15
47084,10
3884,120
8721,0
928,30
57838,0
49587,120
86518,20
41445,10
77811,0
78733,15
89523,0
1655,15
5986,0
86415,5
36812,20
58541,0
42308,15
5628,5
63261,0
28968,20
16122,15
28460,0
7521,0
76027,5
49220,10
43290,5
54570,5
12514,10
1507,0
70062,20
38163,30
3775,5
37377,0
40960,15
99845,0
58018,0
57511,45
96626,15
81324,5
92953,15
90185,15
78287,30
34870,20
95198,0
29426,15
90853,0
58550,0
9965,5
62161,10
57212,15
22733,30
95805,45
68267,0
60207,5
73185,0
29415,0
33746,10
98661,0
41024,0
72320,10
98507,0
47853,0
62534,5
52991,30
11893,0
80896,0
72484,0
41449,15
34467,30
47341,5
7164,0
12816,0
64700,0
51813,0
39998,5
79867,30
43290,0
65112,15
88983,0
58037,0
61042,30
55710,15
52233,5
69573,5
28019,0
15406,10
41096,5
10905,5
22662,0
57976,0
86738,0
95844,0
13622,0
68306,15
53449,0
22623,15
90690,20
54927,45
95213,10
6431,0
12033,0
68015,0
33371,0
15543,0
73312,20
41591,0
64175,0
53553,0
67370,30
99586,0
94562,5
31560,5
32720,5
56341,0
26448,45
47572,0
37692,0
89007,90
42406,30
70561,30
85177,5
54441,15
34015,20
2731,45
29423,10
91300,20
73080,0
97079,5
77578,60
88294,0
91727,15
12924,0
46041,0
7511,10
14525,0
51257,0
67501,45
3827,0
96910,0
2368,10
25259,0
30317,60
57017,5
22488,10
40508,0
35403,5
80743,5
26097,10
47307,0
91230,5
45864,10
55502,0
45903,5
37247,10
64908,0
22837,5
18502,0
95612,5
20403,10
91772,5
36877,10
73113,90
72702,15
9056,15
60311,0
39355,0
57137,0
5572,0
39589,0
44113,20
63003,0
59634,0
90494,10
75596,5
879,0
73824,0
67241,30
39144,15
73954,0
68601,30
37861,15
16098,5
37644,0
16866,5
11512,15
3235,15
10217,0
60754,45
3941,0
99936,10
30340,30
35071,45
2813,120
87462,15
41593,0
11684,0
3178,10
3671,5
25517,10
29059,5
17272,5
15083,0
44591,20
36587,0
1863,10
96482,5
95193,20
88576,15
7405,0
5115,0
23535,0
62571,0
49513,5
7220,10
30901,20
23269,15
90220,60
64659,5
5483,15
23855,10
65647,5
28855,0
98102,10
86216,60
26063,0
46219,10
37247,60
62166,60
3794,15
75381,30
15654,0
71525,0
82883,0
61738,0
95061,0
93521,10
65413,5
32248,0
38285,5
66041,0
63151,30
91368,5
96050,20
17205,0
68263,90
9588,10
50722,5
35074,0
51273,30
56115,10
97788,5
53486,15
97019,30
42744,120
76262,0
4420,0
135,60
32742,10
33305,45
34145,45
15193,0
97599,15
89014,0
65721,0
19535,0
71985,0
89739,30
47776,0
41327,0
37671,0
29160,10
84145,0
85560,0
22294,5
18171,0
1162,60
8328,5
30543,20
47271,30
54209,60
25529,0
27141,0
69078,0
15570,5
44240,20
30648,0
22594,0
57544,15
61902,0
7803,20
3754,10
35337,10
94292,15
68877,0
48508,10
268,5
10841,20
55967,0
35203,15
14145,0
17051,10
37481,0
87681,0
4608,0
35823,10
32588,0
29204,0
33965,45
57583,10
75092,20
18405,0
80144,30
46391,0
6630,0
59552,0
766,0
135,0
38504,10
8087,15
4012,15
20063,30
29279,5
27619,0
22044,15
64299,0
33280,90
73665,0
38535,0
33093,5
6571,0
77636,5
50287,5
91559,5
33782,30
34285,15
3230,20
32403,0
86649,5
50308,30
9889,0
37554,0
25715,15
63094,0
19192,0
60099,0
450,5
70130,20
70690,20
17626,0
65676,5
84820,120
81482,20
27079,10
37373,10
31446,0
93540,0
57170,5
41227,10
80648,20
60862,15
36090,10
7245,45
11422,0
26721,0
21532,5
86672,5
64569,15
2538,0
64203,5
57797,5
86962,120
25628,0
49906,5
60270,15
12231,10
90531,30
43101,30
82160,0
60423,20
86909,90
22626,10
82305,0
50867,0
84947,5
32917,90
96222,0
25263,60
59719,0
78485,5
9867,5
8360,10
25760,5
18049,5
44605,20
93783,0
39518,5
31246,60
59668,15
25625,5
71742,0
41600,10
39287,5
55283,5
7256,60
13977,5
71197,20
95213,0
84773,0
57275,5
13630,0
47080,0
74305,10
44204,0
39988,90
51970,0
66906,20
72358,5
8494,60
47134,30
75069,20
