user_id,signup_date,city,device_type
1,2023-04-13,Meerut,Android
2,2024-03-11,Delhi,Web
3,2023-09-28,Agra,iOS
4,2023-04-17,Chandigarh,Web
5,2023-03-13,Jaipur,Android
6,2024-12-01,Varanasi,Android
7,2023-01-21,Jaipur,Web
8,2024-09-06,Dehradun,Android
9,2023-05-02,Gurgaon,Android
10,2024-04-11,Jaipur,Android
11,2023-08-03,Dehradun,Web
12,2023-11-27,Lucknow,iOS
13,2024-04-03,Noida,iOS
14,2023-03-29,Agra,Android
15,2024-01-08,Meerut,Web
16,2023-04-10,Meerut,Android
17,2024-10-25,Meerut,Android
18,2023-05-11,Noida,Web
19,2024-10-23,Varanasi,Android
20,2023-11-05,Gurgaon,iOS
21,2023-12-10,Chandigarh,Android
22,2024-05-06,Noida,Web
23,2024-02-18,Lucknow,Android
24,2024-01-21,Dehradun,Android
25,2023-07-11,Meerut,Android
26,2023-10-04,Delhi,Web
27,2023-06-10,Dehradun,Android
28,2024-04-04,Jaipur,Android
29,2023-11-10,Gurgaon,iOS
30,2023-01-22,Jaipur,iOS
31,2023-09-10,Lucknow,Android
32,2024-07-14,Chandigarh,Android
33,2024-04-19,Varanasi,Android
34,2023-02-28,Meerut,Android
35,2024-05-25,Delhi,iOS
36,2024-11-12,Varanasi,Android
37,2024-04-20,Lucknow,Web
38,2024-11-30,Varanasi,Android
39,2023-07-09,Noida,iOS
40,2024-11-17,Dehradun,Android
41,2024-07-16,Meerut,Android
42,2024-07-20,Lucknow,Android
43,2023-09-01,Varanasi,Web
44,2024-05-19,Meerut,Android
45,2023-05-11,Agra,Android
46,2024-04-29,Jaipur,iOS
47,2024-10-08,Agra,Android
48,2023-01-21,Jaipur,Android
49,2023-06-16,Agra,Android
50,2023-10-01,Dehradun,iOS
51,2024-01-23,Jaipur,Web
52,2024-08-23,Agra,iOS
53,2023-11-12,Lucknow,iOS
54,2023-01-14,Dehradun,Android
55,2023-08-30,Jaipur,Android
56,2023-12-12,Agra,Android
57,2024-07-18,Agra,Android
58,2023-12-06,Delhi,Android
59,2023-04-02,Agra,iOS
60,2024-01-02,Varanasi,iOS
61,2024-03-30,Agra,Android
62,2024-03-03,Dehradun,Android
63,2024-05-23,Lucknow,Android
64,2023-02-04,Varanasi,Android
65,2023-07-25,Gurgaon,Android
66,2023-03-22,Dehradun,Android
67,2024-07-15,Chandigarh,iOS
68,2024-01-23,Agra,Android
69,2023-01-02,Jaipur,Android
70,2024-01-25,Gurgaon,Android
71,2024-07-19,Lucknow,Web
72,2023-04-16,Lucknow,iOS
73,2024-04-21,Lucknow,iOS
74,2024-12-03,Agra,Android
75,2024-02-06,Delhi,Web
76,2024-12-30,Varanasi,Android
77,2024-07-09,Delhi,iOS
78,2023-06-11,Varanasi,Android
79,2023-07-21,Dehradun,Android
80,2023-09-27,Gurgaon,Android
81,2023-09-28,Agra,Android
82,2024-03-31,Gurgaon,Android
83,2024-04-06,Lucknow,iOS
84,2024-12-27,Delhi,Android
85,2023-09-09,Noida,iOS
86,2024-12-02,Dehradun,Android
87,2023-10-23,Lucknow,Android
88,2024-12-25,Delhi,Android
89,2024-12-20,Varanasi,Android
90,2023-12-04,Dehradun,Android
91,2023-02-22,Chandigarh,Android
92,2023-08-05,Delhi,Android
93,2023-07-07,Meerut,Android
94,2024-01-15,Gurgaon,Android
95,2024-05-07,Meerut,iOS
96,2023-02-10,Dehradun,Web
97,2023-06-06,Agra,Android
98,2023-01-15,Dehradun,Android
99,2023-03-06,Varanasi,Android
100,2024-06-04,Meerut,Android
101,2023-12-10,Gurgaon,Android
102,2023-05-09,Agra,Android
103,2024-10-09,Noida,Web
104,2024-04-16,Chandigarh,Android
105,2023-03-04,Varanasi,Android
106,2023-05-19,Chandigarh,iOS
107,2024-05-13,Lucknow,Android
108,2024-08-15,Gurgaon,iOS
109,2024-01-27,Delhi,iOS
110,2024-11-05,Varanasi,iOS
111,2024-02-23,Agra,iOS
112,2023-10-16,Meerut,Android
113,2024-01-14,Dehradun,iOS
114,2024-05-04,Meerut,Android
115,2023-08-19,Lucknow,Android
116,2023-02-10,Gurgaon,Android
117,2023-01-28,Meerut,Web
118,2023-05-15,Delhi,Android
119,2023-07-20,Delhi,Web
120,2023-02-02,Noida,Web
121,2023-02-17,Chandigarh,Android
122,2024-05-17,Gurgaon,Android
123,2024-02-11,Delhi,iOS
124,2024-07-27,Dehradun,Web
125,2024-12-28,Chandigarh,Android
126,2023-04-09,Delhi,Android
127,2024-11-14,Lucknow,iOS
128,2024-12-26,Lucknow,Android
129,2024-06-30,Delhi,Android
130,2024-09-04,Dehradun,Android
131,2024-04-06,Agra,Android
132,2024-10-04,Jaipur,Android
133,2023-01-05,Varanasi,iOS
134,2023-08-06,Dehradun,Android
135,2024-05-17,Agra,Android
136,2024-02-02,Dehradun,Android
137,2024-01-28,Gurgaon,Android
138,2023-07-26,Varanasi,Android
139,2023-01-15,Varanasi,Web
140,2024-07-07,Noida,Android
141,2024-04-05,Meerut,Android
